inchikey,kegg_id,kegg_drug_id
InChIKey=LQXVFWRQNMEDEE-PYHARJCCSA-N,C00312,
InChIKey=QVXMZFTWJVBUHP-IBOSZNHHSA-N,C00313,
InChIKey=LXNHXLLTXMVWPM-UHFFFAOYSA-N,C00314,D08454
InChIKey=ATHGHQPFGPMSJY-UHFFFAOYSA-N,C00315,
InChIKey=WMGFVAGNIYUEEP-WUYNJSITSA-N,C00317,
InChIKey=PHIQHXFUZVPYII-ZCFIWIBFSA-N,C00318,D02176
InChIKey=WWUZIQQURGPMPG-KRWOKUGFSA-N,C00319,
InChIKey=DHCDFWKWKRSZHF-UHFFFAOYSA-M,C00320,
InChIKey=FGSBNBBHOZHUBO-UHFFFAOYSA-N,C00322,
InChIKey=QHRGJMIMHCLHRG-ZSELIEHESA-N,C00323,
InChIKey=CRWNKXHVYMVLCY-UHFFFAOYSA-N,C00324,
InChIKey=LQEBEXMHBLQMDB-JGQUBWHWSA-N,C00325,
InChIKey=RHGKLRLOHDJJDR-BYPYZUCNSA-N,C00327,D07706
InChIKey=YGPSJZOEDVAXAB-QMMMGPOBSA-N,C00328,
InChIKey=MSWZFWKMSRAUBD-IVMDWMLBSA-N,C00329,D04334
InChIKey=YKBGVTZYEHREMT-KVQBGUIXSA-N,C00330,
InChIKey=RSTKLPZEZYGQPY-UHFFFAOYSA-N,C00331,
InChIKey=OJFDKHTZOUZBOS-CITAKDKDSA-N,C00332,
InChIKey=AEMOLEFTQBMNLQ-YMDCURPLSA-N,C00333,
InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,C00334,D00058
InChIKey=UFIVEPVSAGBUSI-REOHCLBHSA-N,C00337,
InChIKey=GVVPGTZRZFNKDS-JXMROGBWSA-N,C05847,
InChIKey=BIRSGZKFKXLSJQ-SQOUGZDYSA-N,C00345,
InChIKey=SUHOOTKUPISOBE-UHFFFAOYSA-N,C00346,
InChIKey=UFPHFKCTOZIAFY-RDQGWRCRSA-N,C00348,
InChIKey=VOKUMXABRRXHAR-UHFFFAOYSA-N,C00349,
InChIKey=XHMJOUIAFHJHBW-IVMDWMLBSA-N,C00352,
InChIKey=OINNEUNVOZHBOX-QIRCYJPOSA-N,C00353,
InChIKey=RNBGYGVWRKECFJ-VRPWFDPXSA-N,C00354,
InChIKey=WTDRDQBEARUVNC-LURJTMIESA-N,C00355,D00059
InChIKey=CABVTRNMFUVUDM-VRHQGPGLSA-N,C00356,
InChIKey=BRGMHAYQAZFZDJ-RTRLPJTCSA-N,C00357,
InChIKey=KHWCHTKSEGGWEX-RRKCRQDMSA-N,C00360,
InChIKey=CIKGWCTVFSRMJU-KVQBGUIXSA-N,C00361,
InChIKey=LTFMZDNNPPEQNG-KVQBGUIXSA-N,C00362,
InChIKey=UJLXYODCHAELLY-XLPZGREQSA-N,C00363,
InChIKey=GYOZYWVXFNDGLU-XLPZGREQSA-N,C00364,
InChIKey=JSRLJPSBLDHEIO-SHYZEUOFSA-N,C00365,
InChIKey=LEHOTFFKMJEONL-UHFFFAOYSA-N,C00366,
InChIKey=FPXSXMFOYWRHDX-UHFFFAOYSA-N,C00370,
InChIKey=UZKQTCBAMSWPJD-FARCUNLSSA-N,C00371,
InChIKey=NCYCYZXNIZJOKI-OVSJKPMPSA-N,C00376,
InChIKey=JZRWCGZRTZMZEH-UHFFFAOYSA-N,C00378,
