het_id,inchikey
09N,InChIKey=WSXMIFGRYXQZQZ-ULOPOQRHSA-N
09O,InChIKey=JBOVXXZNZSULJJ-UHFFFAOYSA-N
09P,InChIKey=RQXFSCANOMMTFZ-UHFFFAOYSA-N
09Q,InChIKey=YAWZOEAWIFAGIV-UHFFFAOYSA-N
09R,InChIKey=JRNYLCIPPWHNEJ-UHFFFAOYSA-N
09S,InChIKey=UGNNTIXQGYYUAP-UHFFFAOYSA-N
09T,InChIKey=PCJBTWVYIQBUCM-UHFFFAOYSA-N
0A0,InChIKey=CWAYDJFPMMUKOI-YFKPBYRVSA-N
0A1,InChIKey=GEYBMYRBIABFTA-VIFPVBQESA-N
0A2,InChIKey=KABSWZBLCSIYPT-VIFPVBQESA-N
0A3,InChIKey=WTIAJRXHONNHHK-KTFFUYHOSA-N
0A4,InChIKey=PYSTWTYTGVRHPO-NWDGAFQWSA-N
0A5,InChIKey=GRHQDJDRGZFIPO-UHFFFAOYSA-N
0A6,InChIKey=FHHFKGGCXNOIAY-SCSAIBSYSA-N
0A7,InChIKey=ZHQLTKAVLJKSKR-UHFFFAOYSA-N
0A8,InChIKey=JFWAKRSZKNRPNA-BYPYZUCNSA-N
0A9,InChIKey=VSDUZFOSJDMAFZ-VIFPVBQESA-N
0AA,InChIKey=CEMZBWPSKYISTN-YFKPBYRVSA-N
0AB,InChIKey=SBDJAXOULWQEQY-WHFBIAKZSA-N
0AC,InChIKey=RZDSOGPADIZKDQ-QWRGUYRKSA-N
0AD,InChIKey=OWYUJGCLBCUIHH-DJLDLDEBSA-N
0AF,InChIKey=VQSRKJZICBNQJG-QMMMGPOBSA-N
0AG,InChIKey=WJYLMMNPQWEDQG-ZETCQYMHSA-N
0AH,InChIKey=PNOKHJAKXLINKP-VKHMYHEASA-N
0AI,InChIKey=HPXHVBAASZCSSR-LVAAGULDSA-N
0AJ,InChIKey=RLVVEDPRNSYGPR-RXMQYKEDSA-N
0AK,InChIKey=TZDZYSQZECUBEP-BYPYZUCNSA-N
0AL,InChIKey=JDFMKMOMBHLESC-XQCVOTFFSA-N
0AM,InChIKey=NGHHQXIMUJEXSI-YNEHKIRRSA-N
0AO,InChIKey=VDSBYCKQQBUKLD-LBPRGKRZSA-N
0AP,InChIKey=PIILJQRMNSOCFD-SHYZEUOFSA-N
0AR,InChIKey=IHBIRUKKKZVHQW-LURJTMIESA-N
0AS,InChIKey=JXSVIVRDWWRQRT-UYDOISQJSA-N
0AT,InChIKey=BRGMHAYQAZFZDJ-PVFLNQBWSA-N
0AU,InChIKey=HXJLWCWPONZYNP-UAKXSSHOSA-N
0AV,InChIKey=TVGFEBXIZUYVFR-IOSLPCCCSA-N
0AY,InChIKey=FYUGRVWDCBMIQX-VIFPVBQESA-N
0AZ,InChIKey=PMMYEEVYMWASQN-QWWZWVQMSA-N
